file_id,relative_path,filename,sample_role,file_format,page_count,text_extractable,tables_present,images_present,title_extractable,page_numbers_preserved,reference_date_present,product_code,anticipated_parsing_issue,review_status,notes
b595cc0db0aa64b8,docs_renamed/doc19.pdf,doc19.pdf,general_pdf_candidate,.pdf,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,,일반 텍스트 PDF 여부를 확인할 후보,not_reviewed,
ee3b84ad68394b49,docs_renamed/doc47.pdf,doc47.pdf,general_pdf_candidate,.pdf,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,,일반 텍스트 PDF 여부를 확인할 후보,not_reviewed,
32a9019d096c10a2,docs_renamed/doc30.pdf,doc30.pdf,table_pdf_candidate,.pdf,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,,표가 많은 PDF 여부를 확인할 후보,not_reviewed,
00db21ed21cfa0e0,docs_renamed/doc37.pdf,doc37.pdf,table_pdf_candidate,.pdf,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,,표가 많은 PDF 여부를 확인할 후보,not_reviewed,
6a9fc4484a34f8ed,docs_renamed/doc31.pdf,doc31.pdf,image_or_scan_pdf_candidate,.pdf,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,,이미지·스캔 중심 PDF 여부를 확인할 후보,not_reviewed,
afc99f5bd68cc78b,docs_renamed/doc35.docx,doc35.docx,docx_candidate,.docx,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,,DOCX 구조 보존 가능성을 확인할 후보,not_reviewed,
7cce439d30d5a8b0,docs_renamed/doc41.docx,doc41.docx,docx_candidate,.docx,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,,DOCX 구조 보존 가능성을 확인할 후보,not_reviewed,
5a8516a0215f8754,docs_renamed/doc33.pptx,doc33.pptx,pptx_candidate,.pptx,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,,PPTX 슬라이드·도형·표 처리를 확인할 후보,not_reviewed,
e8b9d44491ee50d2,투자설명서/KR510902511M/R2_KR510902511M.pdf,R2_KR510902511M.pdf,investment_product_candidate,.pdf,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,KR510902511M,상품코드와 투자설명서 구조를 확인할 후보,not_reviewed,
2607f0bb43b14183,투자설명서/KR510902773M/R2_KR510902773M.pdf,R2_KR510902773M.pdf,investment_product_candidate,.pdf,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,not_reviewed,KR510902773M,상품코드와 투자설명서 구조를 확인할 후보,not_reviewed,
